alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-011,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,11,禮記·《奔喪》 11,聞喪不得奔喪，哭盡哀；問故，又哭盡哀。乃為位，括髮袒成踴，襲絰絞帶即位，拜賓反位成踴。賓出，主人拜送于門外，反位；若有賓後至者，拜之成踴，送賓如初。於又哭，括髮袒成踴，於三哭，猶括髮袒成踴，三日成服，於五哭，拜賓送賓如初。,禮記·《奔喪》 11,"When one heard of the mourning rites, and it was impossible (in his circumstances) to hurry to be present at them, he wailed and gave full vent to his grief. He then asked the particulars, and (on hearing them) wailed again, and gave full vent to his grief. He then made a place (for his mourning) .where he was, tied up his hair, bared his arms, and went through the leaping. Having covered his arms, and put on the higher cincture and his sash with the ends tucked up, he went (back) to his place. After bowing to (any visitors that arrived), he returned to the place, and went through the leaping. When the visitors went out, he, as the presiding mourner, bowed to them, and escorted them outside the gate, returning then to his station. If any other visitors came afterwards, he bowed to them and went through the leaping, then escorting them as before. At the wailing next day, he tied up his hair, bared his arms, and went through the leaping. At the third wailing he did the same. On the third day, he put on his mourning-garb, wailed, bowed to his visitors, and escorted them as before.","When one heard of the mourning rites, and it was impossible (in his circumstances) to hurry to be present at them, he wailed and gave full vent to his grief. He then asked the particulars, and (on hearing them) wailed again, and gave full vent to his grief. He then made a place (for his mourning) .where he was, tied up his hair, bared his arms, and went through the leaping. Having covered his arms, and put on the higher cincture and his sash with the ends tucked up, he went (back) to his place. After bowing to (any visitors that arrived), he returned to the place, and went through the leaping. When the visitors went out, he, as the presiding mourner, bowed to them, and escorted them outside the gate, returning then to his station. If any other visitors came afterwards, he bowed to them and went through the leaping, then escorting them as before. At the wailing next day, he tied up his hair, bared his arms, and went through the leaping. At the third wailing he did the same. On the third day, he put on his mourning-garb, wailed, bowed to his visitors, and escorted them as before.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-012,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,12,禮記·《奔喪》 12,若除喪而後歸，則之墓，哭成踴，東括髮袒絰，拜賓成踴，送賓反位，又哭盡哀，遂除，於家不哭。主人之待之也，無變於服，與之哭，不踴。,禮記·《奔喪》 12,"If one returned home after the mourning rites had been completed, he went to the grave, and there wailed and went through the leaping. On the east of it, he tied up his hair, bared his arms, put on the cincture for the head, bowed to the visitors, and went (again) through the leaping. Having escorted the visitors, he returned to his place, and again wailed, giving full vent to his grief With this he put off his mourning. In the house he did not wail. The principal mourner, in his treatment of him, made no change in his dress; and though he wailed with him (at the grave), he did not leap.","If one returned home after the mourning rites had been completed, he went to the grave, and there wailed and went through the leaping. On the east of it, he tied up his hair, bared his arms, put on the cincture for the head, bowed to the visitors, and went (again) through the leaping. Having escorted the visitors, he returned to his place, and again wailed, giving full vent to his grief With this he put off his mourning. In the house he did not wail. The principal mourner, in his treatment of him, made no change in his dress; and though he wailed with him (at the grave), he did not leap.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-013,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,13,禮記·《奔喪》 13,自齊衰以下，所以異者，免麻。,禮記·《奔喪》 13,"Wherein at other observances than those for the death of a mother or father, the usages (of such a mourner) differed from the above, were in the cincture for the head and the hempen sash.","Wherein at other observances than those for the death of a mother or father, the usages (of such a mourner) differed from the above, were in the cincture for the head and the hempen sash.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-014,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,14,禮記·《奔喪》 14,凡為位，非親喪，齊衰以下，皆即位哭盡哀，而東免絰，即位，袒、成踴、襲，拜賓反位，哭成踴，送賓反位，相者告就次。三日，五哭卒，主人出送賓；眾主人兄弟皆出門，哭止。相者告事畢。成服拜賓。,禮記·《奔喪》 14,"In all cases where one made a place for his mourning (away from home), if it were not on occasion of the death of a parent, but for some relative of the classes not so nearly related, he went to the station, and wailed, giving full vent to his sorrow. Having put on the cincture for the head and the girdle on the east, he came back to the station, bared his arms, and went through the leaping. He then covered his arms, bowed to the visitors, went back to the station, wailed, and went through the leaping. (After this), he escorted the guests away, and came back to the station, when the director told him to go to the shed. When the fifth wailing was ended, on the third day, the presiding mourner came forth and escorted the visitors away. All the principal mourners and their cousins went out at the gate, wailed, and stopped there. The director announced to them that the business was ended. He put on his full mourning-garb, and bowed to the visitors.","In all cases where one made a place for his mourning (away from home), if it were not on occasion of the death of a parent, but for some relative of the classes not so nearly related, he went to the station, and wailed, giving full vent to his sorrow. Having put on the cincture for the head and the girdle on the east, he came back to the station, bared his arms, and went through the leaping. He then covered his arms, bowed to the visitors, went back to the station, wailed, and went through the leaping. (After this), he escorted the guests away, and came back to the station, when the director told him to go to the shed. When the fifth wailing was ended, on the third day, the presiding mourner came forth and escorted the visitors away. All the principal mourners and their cousins went out at the gate, wailed, and stopped there. The director announced to them that the business was ended. He put on his full mourning-garb, and bowed to the visitors.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-015,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,15,禮記·《奔喪》 15,若所為位家遠，則成服而往。,禮記·《奔喪》 15,"If the home were far distant from the place which an absent mourner has selected (for his wailing), they completed all their arrangements about dress before they went to it.","If the home were far distant from the place which an absent mourner has selected (for his wailing), they completed all their arrangements about dress before they went to it.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-016,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,16,禮記·《奔喪》 16,齊衰，望鄉而哭；大功，望門而哭；小功，至門而哭；緦麻，即位而哭。,禮記·《奔喪》 16,"One hurrying to mourning rites, if they were for a parent, wailed when he looked towards the district (where they had lived); if they were for a relation for whom nine months' mourning was due, he wailed when he could see the gate of his house; if for one to whom five months' mourning was due, he wailed when he got to the door; if for one to whom but three months' mourning was due, he wailed when he took his station.","One hurrying to mourning rites, if they were for a parent, wailed when he looked towards the district (where they had lived); if they were for a relation for whom nine months' mourning was due, he wailed when he could see the gate of his house; if for one to whom five months' mourning was due, he wailed when he got to the door; if for one to whom but three months' mourning was due, he wailed when he took his station.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-017,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,17,禮記·《奔喪》 17,哭父之黨於廟；母妻之黨於寢；師於廟門外；朋友於寢門外；所識於野張帷。,禮記·《奔喪》 17,"For one of his father's relations (for whom he did not need to go into mourning) a man wailed in the ancestral temple; for one of his mother or wife's relatives, in the back chamber of the temple; for his teacher, outside the gate of the temple; for a friend, outside the door of the back-chamber; for an acquaintance, in the open country, having pitched a tent for the occasion. Some say the wailing for a mother's relation was in the temple.","For one of his father's relations (for whom he did not need to go into mourning) a man wailed in the ancestral temple; for one of his mother or wife's relatives, in the back chamber of the temple; for his teacher, outside the gate of the temple; for a friend, outside the door of the back-chamber; for an acquaintance, in the open country, having pitched a tent for the occasion. Some say the wailing for a mother's relation was in the temple.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-018,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,18,禮記·《奔喪》 18,凡為位不奠。,禮記·《奔喪》 18,"In all cases where a station was selected, away from the house of mourning, for paying funeral rites, no offerings were put down (for the departed).","In all cases where a station was selected, away from the house of mourning, for paying funeral rites, no offerings were put down (for the departed).",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-019,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,19,禮記·《奔喪》 19,哭天子九，諸侯七，卿大夫五，士三。,禮記·《奔喪》 19,"For the son of Heaven they wailed nine days; for a feudal prince, seven; for a high minister and Great officer, five; for another officer, three.","For the son of Heaven they wailed nine days; for a feudal prince, seven; for a high minister and Great officer, five; for another officer, three.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-020,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,20,禮記·《奔喪》 20,大夫哭諸侯，不敢拜賓。,禮記·《奔喪》 20,"A Great officer, in wailing for the ruler of his state, did not presume to bow to the visitors.","A Great officer, in wailing for the ruler of his state, did not presume to bow to the visitors.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-021,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,21,禮記·《奔喪》 21,諸臣在他國，為位而哭，不敢拜賓。,禮記·《奔喪》 21,"Ministers in other states, when they selected a station (for their wailing), did not presume to bow to the visitors.","Ministers in other states, when they selected a station (for their wailing), did not presume to bow to the visitors.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-022,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,22,禮記·《奔喪》 22,與諸侯為兄弟，亦為位而哭。,禮記·《奔喪》 22,"Officers, of the same surname with a feudal prince, (but who were serving in other states), also made a place at which to wail for him (on his death).","Officers, of the same surname with a feudal prince, (but who were serving in other states), also made a place at which to wail for him (on his death).",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-023,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,23,禮記·《奔喪》 23,凡為位者壹袒。,禮記·《奔喪》 23,"In all cases where one made a place (at a distance) at which to wail, he bared his arms (only) once.","In all cases where one made a place (at a distance) at which to wail, he bared his arms (only) once.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-024,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,24,禮記·《奔喪》 24,所識者吊，先哭于家而後之墓，皆為之成踴，從主人北面而踴。,禮記·《奔喪》 24,"In condoling with (the relations of) an acquaintance (after he has been buried), one first wailed in his house, and afterwards went to the grave, in both cases accompanying the wailing with the leaping. He alternated his leaping with that of the presiding mourner, keeping his face towards the north.","In condoling with (the relations of) an acquaintance (after he has been buried), one first wailed in his house, and afterwards went to the grave, in both cases accompanying the wailing with the leaping. He alternated his leaping with that of the presiding mourner, keeping his face towards the north.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-025,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,25,禮記·《奔喪》 25,凡喪，父在父為主；父沒，兄弟同居，各主其喪。親同，長者主之；不同，親者主之。,禮記·《奔喪》 25,"At all mourning rites (in a household), if the father were alive, he acted as presiding mourner; if he were dead, and brothers lived together in the house, each presided at the mourning for one of his own family-circle. If two brothers were equally related to the deceased for whom rites were necessary, the eldest presided at those rites; if they were not equally related, the one most nearly so presided.","At all mourning rites (in a household), if the father were alive, he acted as presiding mourner; if he were dead, and brothers lived together in the house, each presided at the mourning for one of his own family-circle. If two brothers were equally related to the deceased for whom rites were necessary, the eldest presided at those rites; if they were not equally related, the one most nearly so presided.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-026,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,26,禮記·《奔喪》 26,聞遠兄弟之喪，既除喪而後聞喪，免袒成踴，拜賓則尚左手。,禮記·《奔喪》 26,"When one heard of the death of a brother or cousin at a distance, but the news did not arrive till the time which his own mourning for him would have taken had expired, he (notwithstanding) put on the mourning cincture, bared his arms, and went through the leaping. He bowed to his visitors, however, with the left hand uppermost.","When one heard of the death of a brother or cousin at a distance, but the news did not arrive till the time which his own mourning for him would have taken had expired, he (notwithstanding) put on the mourning cincture, bared his arms, and went through the leaping. He bowed to his visitors, however, with the left hand uppermost.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-027,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,27,禮記·《奔喪》 27,無服而為位者，唯嫂叔；及婦人降而無服者麻。,禮記·《奔喪》 27,"The only case in which a place was chosen in which to wail for one for whom mourning was not worn, was the death of a sister-in-law, the wife of an elder brother. For a female member of the family who had married, and for whom therefore mourning was not worn, the hempen sash was assumed.","The only case in which a place was chosen in which to wail for one for whom mourning was not worn, was the death of a sister-in-law, the wife of an elder brother. For a female member of the family who had married, and for whom therefore mourning was not worn, the hempen sash was assumed.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-028,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,28,禮記·《奔喪》 28,凡奔喪，有大夫至，袒，拜之，成踴而後襲；於士，襲而後拜之。,禮記·《奔喪》 28,"When one had hurried to the mourning rites, and a Great officer came (to condole with him), he bared his arms, and bowed to him. When he had gone through the leaping, he covered his arms. In the case of a similar visit from an ordinary officer, he covered his arms, and then bowed to him.","When one had hurried to the mourning rites, and a Great officer came (to condole with him), he bared his arms, and bowed to him. When he had gone through the leaping, he covered his arms. In the case of a similar visit from an ordinary officer, he covered his arms, and then bowed to him.",[]
